"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
153837,81911,123083,27144,18851,94366.8,2091.48,336.4,3083.25,27417,5585.58,17261.4,609.75,17999.3,114.6
95542,54202,115521,23787.7,18986,82110.4,499.96,132.24,1988.25,18085.1,3366.48,2091.18,409.5,3167.58,115
100101,54039,121398,32281.1,21907,96570.6,281.88,140.94,3075.75,31526.8,5761.08,9214.92,569.25,1790.88,116.1
129261,76351,110951,20527.3,15147,88814.6,176.32,99.18,7875,123671,18260.6,4807.14,567,2577.12,117
105355,71955,95956.5,17478.2,13651,83909.9,664.68,269.7,1131.75,4351.62,1449.24,10804.6,360,8107.32,117.6
116500,63457,120317,25245.5,18325,90285.8,613.64,205.32,3535.5,33103.2,6371.82,10497.2,609,6389.76,117.9
86625.2,48875,116155,22988.2,16603,90739.7,399.04,103.24,2379.75,24231.5,4264.26,5519.28,410.25,4807.14,118.2
83048.4,34754,156605,46605,24246,125972,1037.04,260.42,2943.75,12978.4,3668.34,12867.7,813.75,9328.8,118.8
106198,62027,112206,21728.5,16063,88650.7,171.1,84.68,2286.75,19699.7,3614.52,5314.14,497.25,1629.42,119
114222,67342,111159,25957.6,19086,89131.2,81.2,131.08,1885.5,8637.72,2694.9,11037,504.75,1829.88,119.2
165504,92294,117521,40412.6,24486,108163,1423.9,331.76,7370.25,90770.2,14979.9,15888.6,1000.5,13500.2,119.2
92041.4,58506,103101,24102.8,18122,87164.8,291.16,193.72,3032.25,36183.4,6401.46,10502.7,477.75,1833.78,119.8
93889,53924,114107,25722.1,17600,95779.6,830.56,300.44,2956.5,32406.7,5547.36,13874.6,516.75,8367.06,119.9
97240.7,58775,108426,22142.6,17111,84807.4,980.78,237.8,2176.5,22388.3,4134,14199.9,444.75,10542.5,119.9
99873.6,54473,120157,33150,21993,98782.3,1480.74,272.02,2594.25,16104.7,3892.98,11622.8,727.5,12090,120.3
90183.6,46434,127283,27902.2,18402,99369.4,447.76,234.32,3090.75,30136.1,5759.52,16202.2,609,1580.28,120.4
121655,67375,118334,36067.2,24943,94764.1,559.12,248.82,2985.75,18563.2,4458.48,13589.9,818.25,2262,120.7
99322.8,53124,122529,42740.9,27888,100440,706.44,299.28,4451.25,42109.9,7988.76,14993.9,788.25,6255.6,121.4
154554,82958,122097,31890.3,22302,93711.9,922.78,187.34,2763.75,14724.8,3843.84,12034.6,687,7271.16,121.5
